ID	log2fold	p	p.adj
ENSG00000108950	3.47003103817021	1.40026067699126e-17	3.32253853436487e-13
ENSG00000170439	5.33254399419872	3.59543077710754e-16	4.26561907396038e-12
ENSG00000161944	1.87801466469247	1.93580423614704e-12	1.53109209717656e-08
ENSG00000257017	2.83530605006953	4.04618825472894e-11	2.40019887270521e-07
ENSG00000158006	-0.613000527327568	6.99856886378846e-11	3.32124083999945e-07
ENSG00000278869	1.40682039765269	2.33689384750141e-10	9.24163620225224e-07
ENSG00000284735	1.38054974946065	4.61772918116418e-10	1.04855771066218e-06
ENSG00000010327	1.56989895383038	5.21579645545427e-10	1.04855771066218e-06
ENSG00000249138	2.49974615314931	4.40410155469773e-10	1.04855771066218e-06
ENSG00000187116	1.76454187010789	4.22786292060465e-10	1.04855771066218e-06
ENSG00000110079	2.16059418286357	3.50455768500324e-10	1.04855771066218e-06
ENSG00000051128	1.29383866342684	5.30288795007843e-10	1.04855771066218e-06
ENSG00000136160	3.09243946515752	7.28105731188784e-10	1.32896098381904e-06
ENSG00000283399	-1.80296693615373	1.15907238744412e-09	1.92548480784558e-06
ENSG00000112290	1.51007998088119	1.21722320118357e-09	1.92548480784558e-06
ENSG00000214212	1.12208058667728	2.39727027557263e-09	2.76097468432014e-06
ENSG00000183019	2.49882816897233	2.45523869187642e-09	2.76097468432014e-06
ENSG00000186818	1.47867417601934	2.24271644672383e-09	2.76097468432014e-06
ENSG00000267461	2.63452380712561	2.035883898138e-09	2.76097468432014e-06
ENSG00000142733	1.24469686269138	2.45064541190285e-09	2.76097468432014e-06
ENSG00000119686	1.31061940162999	2.55990572551598e-09	2.76097468432014e-06
ENSG00000154856	1.61714685890768	2.41924420771473e-09	2.76097468432014e-06
ENSG00000186583	2.16221015384137	3.14206797650831e-09	3.24152125854736e-06
ENSG00000165131	2.29672223045139	3.8571019182756e-09	3.81338809653514e-06
ENSG00000140939	1.19251880101818	4.32458170298971e-09	4.10454698594159e-06
ENSG00000132259	2.00362335400731	4.76966831736471e-09	4.35287268593961e-06
ENSG00000267659	4.52304390219751	5.30606883350181e-09	4.51088777003006e-06
ENSG00000160883	1.38969616881084	5.32303007252367e-09	4.51088777003006e-06
ENSG00000264304	1.31882745850952	5.53370991102241e-09	4.52771961271517e-06
ENSG00000233901	1.42955202801756	5.95803069794923e-09	4.71240508003131e-06
ENSG00000126458	0.968271943822702	6.37842274115383e-09	4.72960046256556e-06
ENSG00000127952	0.957654260465456	6.29572897207551e-09	4.72960046256556e-06
ENSG00000112053	1.61679175864709	6.94978761020477e-09	4.99710789136178e-06
ENSG00000082014	1.20956064774924	8.45625589791601e-09	5.90147176311033e-06
ENSG00000060558	1.0084544360604	8.76793152599655e-09	5.94415654996704e-06
ENSG00000125885	-0.796304626193543	9.49272197236059e-09	6.25675852667145e-06
ENSG00000186407	1.27641507740351	9.86543943501980e-09	6.32667964632837e-06
ENSG00000108861	0.943200859374796	1.20496102376936e-08	7.52403030842086e-06
ENSG00000228549	-2.09927766611808	1.39412758751457e-08	8.48201522988354e-06
ENSG00000084734	3.95906332391321	1.58799286282685e-08	9.41997366228888e-06
ENSG00000162745	1.85515094387784	1.68287903073011e-08	9.51535100388549e-06
ENSG00000204791	2.36770181081781	1.68427487425485e-08	9.51535100388549e-06
ENSG00000111640	0.965186412819542	1.85008510474504e-08	1.02090277593931e-05
ENSG00000149357	0.742218125784946	2.15825744262066e-08	1.16388937723871e-05
ENSG00000141505	1.11683314669629	2.27889860353712e-08	1.20163791254953e-05
ENSG00000116691	0.900542719529749	2.38700605133587e-08	1.23127999100212e-05
ENSG00000203739	1.01696452170101	2.50856223994443e-08	1.26645031551918e-05
ENSG00000008394	1.15784454789327	2.77254987228286e-08	1.37056382019849e-05
ENSG00000280543	1.45699530505116	3.1565412217636e-08	1.50024674585092e-05
ENSG00000244723	1.0339872602062	3.16134260336084e-08	1.50024674585092e-05
ENSG00000254649	2.05028242272109	3.41243990608567e-08	1.58765439395296e-05
ENSG00000217555	1.04910862707565	3.69745535330298e-08	1.6871773196764e-05
ENSG00000117560	-1.15758185880798	3.85225171991196e-08	1.72464582660511e-05
ENSG00000164713	0.995754660767716	4.14150802166125e-08	1.78672186069051e-05
ENSG00000166033	2.19777201549626	4.10726749716094e-08	1.78672186069051e-05
ENSG00000275210	1.4072222341035	4.29832788377082e-08	1.78931094782656e-05
ENSG00000235481	1.46505486917824	4.23691375693188e-08	1.78931094782656e-05
ENSG00000117984	1.24932938625961	4.90274643674101e-08	1.98928069421997e-05
ENSG00000213523	0.807147019715085	4.94637394466362e-08	1.98928069421997e-05
ENSG00000019169	1.71583115913608	5.07555268239372e-08	2.0072119007973e-05
ENSG00000115129	1.09915936539867	5.1745664813937e-08	2.01282153230344e-05
ENSG00000177674	0.997652610967917	5.32529000757681e-08	2.03804002096424e-05
ENSG00000144724	-1.79120828239536	5.44989262621534e-08	2.05261987674345e-05
ENSG00000100097	0.989057639482083	5.84029803570236e-08	2.16529049673665e-05
ENSG00000132535	0.900951564088884	6.99003593987077e-08	2.48020798014781e-05
ENSG00000164850	2.15931062889067	7.00328450227171e-08	2.48020798014781e-05
ENSG00000273133	1.40180858849965	6.80095062332385e-08	2.48020798014781e-05
ENSG00000100300	1.23851371073438	7.47914429539594e-08	2.57195849045152e-05
ENSG00000163220	1.5873323785648	7.39354944884398e-08	2.57195849045152e-05
ENSG00000169692	0.881038185622597	7.66227159813036e-08	2.59729114972053e-05
ENSG00000102007	1.00949617953741	8.36978833991436e-08	2.79715968633082e-05
ENSG00000197057	-1.42729097859092	8.66633536839899e-08	2.85603896696349e-05
ENSG00000101473	0.545277950635978	8.93950845225079e-08	2.90570762404119e-05
ENSG00000230454	1.07835229503339	9.37630729984238e-08	2.92738183698237e-05
ENSG00000213613	1.13544386158156	9.21535651708469e-08	2.92738183698237e-05
ENSG00000104915	0.798557991410156	9.35634387229061e-08	2.92738183698237e-05
ENSG00000169330	-1.56744082118567	9.68571114684538e-08	2.94644300118394e-05
ENSG00000145757	-1.42503208239354	9.58054499005899e-08	2.94644300118394e-05
ENSG00000185344	-0.585386035120561	1.04297890089244e-07	3.13263333675643e-05
ENSG00000178814	1.58497747267163	1.09506404572309e-07	3.24374866903242e-05
ENSG00000258411	1.67862778909236	1.10731474288447e-07	3.24374866903242e-05
ENSG00000118508	1.09371374342121	1.13428650497215e-07	3.28223782804624e-05
ENSG00000170955	1.93147056956431	1.19037327753089e-07	3.40303338906663e-05
ENSG00000246705	0.778936694005248	1.22842935612049e-07	3.47002044786034e-05
ENSG00000157064	2.28292047804582	1.25201016999598e-07	3.4950232133723e-05
ENSG00000111445	-0.40909585432119	1.3746500085171e-07	3.70655629569247e-05
ENSG00000131149	-0.774519624844797	1.36087837242682e-07	3.70655629569247e-05
ENSG00000060971	0.747617127374082	1.37237637514767e-07	3.70655629569247e-05
