ID	log2fold	p	p.adj
ENSG00000170439	6.46782161575493	2.36858542220049e-22	5.98162562522512e-18
ENSG00000257017	4.09894751452307	9.60344960392585e-21	1.21262758148772e-16
ENSG00000183019	3.88120053372607	1.26265489109218e-19	1.0629028873214e-15
ENSG00000163220	2.68545662190266	5.30064053173733e-19	3.34655939971236e-15
ENSG00000187116	2.5080168677314	3.82971736835424e-18	1.93431364840836e-14
ENSG00000204936	6.20352750419261	7.10381938077167e-18	2.9899975773668e-14
ENSG00000274290	2.56406185217628	1.01101102922295e-17	3.19150906649955e-14
ENSG00000243273	4.07405220841154	9.45209386721074e-18	3.19150906649955e-14
ENSG00000108950	3.55285524108904	1.20606392663158e-17	3.3842153781282e-14
ENSG00000110079	2.92651378258989	8.74075099442609e-17	2.20738925613236e-13
ENSG00000284735	1.85652921657533	2.11477987914304e-16	4.85515009707986e-13
ENSG00000135424	3.81501098514588	5.53214859933845e-16	1.16424067273078e-12
ENSG00000253214	2.84348921107443	2.08360018530046e-15	4.04763377535215e-12
ENSG00000275210	2.04864575855804	5.50592477816311e-15	9.8137451079939e-12
ENSG00000157657	-1.22546466532313	6.05581483077763e-15	9.8137451079939e-12
ENSG00000204791	3.31534591836812	6.21762579107873e-15	9.8137451079939e-12
ENSG00000137869	6.89069141180548	1.16322157538292e-14	1.72799986263061e-11
ENSG00000143545	1.82074734657635	1.30993774366749e-14	1.74111409360941e-11
ENSG00000112053	2.19959460476791	1.24265480867062e-14	1.74111409360941e-11
ENSG00000166527	3.02028797794515	1.48765409748179e-14	1.87846082889026e-11
ENSG00000008394	1.63368059193548	1.70874647050398e-14	1.96531912354909e-11
ENSG00000278869	1.73896914543163	1.71208603461154e-14	1.96531912354909e-11
ENSG00000255557	1.71257120264631	1.94529842434659e-14	2.13593766993255e-11
ENSG00000171101	-1.95023901751871	2.5268473598995e-14	2.65887513445425e-11
ENSG00000138772	3.18100573211064	4.65272853577154e-14	4.70000025769498e-11
ENSG00000163221	3.63772743513485	7.22573185651553e-14	6.96209239241862e-11
